Name,Rating Average,Complexity Average
Merchant of Venus (Second Edition),7.18,3.02
"Air, Land, & Sea",7.60,1.83
Hannibal & Hamilcar,8.37,3.91
Gold West,7.40,2.45
Werewords,7.18,1.19
History of the World,7.13,2.78
Smash Up: Pretty Pretty Smash Up,7.28,2.15
CO₂,7.15,3.87
The Speicherstadt,7.03,2.27
Battle for Rokugan,7.48,2.76
Automobiles,7.33,2.17
Thunderstone: Dragonspire,7.34,2.71
Qwirkle,6.78,1.63
Space Hulk (Fourth Edition),7.96,2.71
Mr. Jack Pocket,6.90,1.82
Star Trek: Frontiers,7.90,4.31
Parade,6.95,1.48
The Grimm Forest,7.14,1.86
Disney Villainous: Wicked to the Core,7.68,2.33
Black Rose Wars,8.15,3.43
Mint Works,7.03,1.65
BattleCON: War of Indines,7.72,2.77
Rex: Final Days of an Empire,7.10,3.27
Manila,6.99,2.03
Valley of the Kings,7.05,2.19
"Warhammer 40,000: Conquest",7.37,3.04
Cerebria: The Inside World,7.81,4.29
The Shipwreck Arcana,7.51,2.12
Railroad Revolution,7.37,3.26
Batman: Gotham City Chronicles,7.79,3.68
Wiz-War (Eighth Edition),7.06,2.32
Cottage Garden,6.91,1.90
Smash Up: Monster Smash,7.31,2.29
Bus,7.50,3.06
Tak,7.65,2.49
Black Fleet,7.02,1.95
Atlantis Rising (Second Edition),7.85,2.44
Menara,7.47,1.60
Sub Terra,7.37,2.14
Fields of Green,7.19,2.63
World's Fair 1893,7.20,1.99
SpaceCorp,7.71,2.95
Majesty: For the Realm,6.99,1.73
Stronghold,7.16,3.69
Jaws,7.32,2.16
Netrunner,7.44,2.93
Rivals for Catan,6.98,2.33
Islebound,7.19,2.73
Vinci,7.09,2.78
Tide of Iron,7.21,3.46
Fantastic Factories,7.50,2.22
A Study in Emerald,7.19,3.44
Wilderness War,7.72,3.30
Blitzkrieg!: World War Two in 20 Minutes,7.71,1.76
Nidavellir,7.95,2.21
Fleet: The Dice Game,7.75,2.68
Firenze,7.24,2.55
Nations: The Dice Game,6.97,2.01
Dice Hospital,7.21,2.29
Winner's Circle,6.97,1.61
Call to Adventure,7.26,2.01
The Big Book of Madness,6.96,2.70
Lovecraft Letter,7.23,1.47
Under Falling Skies,8.06,2.46
When I Dream,7.07,1.15
Condottiere,6.83,1.96
Via Nebula,7.06,2.24
Loony Quest,6.94,1.19
Istanbul: The Dice Game,7.18,1.74
Mr. Jack in New York,7.22,2.54
Blue Lagoon,7.22,2.03
Metropolys,7.03,2.21
Luxor,7.22,1.95
Tales & Games: The Hare & the Tortoise,7.09,1.38
"Hey, That's My Fish!",6.70,1.46
Ticket to Ride: New York,7.01,1.28
Battles of Westeros,7.27,3.21
Axis & Allies Anniversary Edition,7.43,3.10
Battle Cry,7.16,2.10
Terror in Meeple City,6.86,1.48
China,6.99,2.29
Zendo,7.25,2.54
Q.E.,7.51,1.73
Shadowrun: Crossfire,7.17,2.82
Falling Sky: The Gallic Revolt Against Caesar,7.91,4.01
ICECOOL,6.83,1.02
Smash Up,6.75,2.06
A Distant Plain,7.87,3.82
Lowlands,7.44,3.02
NMBR 9,6.91,1.22
Dice Town,6.86,1.69
Massive Darkness,7.24,2.55
DinoGenics,7.74,2.92
Quartermaster General,7.37,2.30
Fauna,7.03,1.48
The Search for Planet X,8.22,2.46
Letter Jam,7.31,2.05
Container: 10th Anniversary Jumbo Edition!,7.72,2.95
Fog of Love,6.95,2.25
The Lord of the Rings,6.75,2.56
Empires of the Void II,7.55,3.46
Princes of the Renaissance,7.37,3.51
Eight-Minute Empire: Legends,6.97,1.98
Ikusa,7.02,2.95
Quarriors!,6.76,1.97
Yggdrasil,7.05,2.60
"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",7.66,2.94
1812: The Invasion of Canada,7.34,2.18
Witness,7.28,1.48
Runebound: Second Edition,6.88,2.68
Honshū,6.99,1.95
Linko!,7.00,1.40
Diamonds: Second Edition,6.93,1.55
Wendake,7.57,3.60
1889: History of Shikoku Railways,8.04,3.95
Riverboat,7.50,2.89
Ambush!,7.45,3.25
Domaine,7.00,2.72
Love Letter,7.67,1.15
No Retreat! The Russian Front,7.78,3.12
Watson & Holmes,7.36,2.19
Warhammer Quest,7.45,2.69
Two Rooms and a Boom,7.01,1.43
Unmatched: Cobble & Fog,8.47,2
Dream Home,6.92,1.67
Wildlands,7.31,2.09
Level 7 \91\Omega Protocol\93\,7.46,3.10
Sons of Anarchy: Men of Mayhem,7.29,2.53
Caylus Magna Carta,6.92,2.87
Legend of the Five Rings: The Card Game,7.49,3.99
Zombicide: Invader,7.93,2.38
Deep Space D-6,7.29,1.66
Unlock!: Escape Adventures - Squeek & Sausage,7.20,2.13
Disney Villainous: Evil Comes Prepared,7.73,2.22
Animal Upon Animal,6.82,1.05
Manoeuvre,7.29,2.11
Primordial Soup,6.94,2.73
Automania,7.32,2.74
Raccoon Tycoon,7.40,2.14
Hardback,7.33,2.11
Steam Park,6.88,2.12
Vikings Gone Wild,7.22,2.22
Power Grid: Factory Manager,6.85,3.00
Paper Tales,7.07,2.12
Kingsburg (Second Edition),7.53,2.48
Vanuatu,7.21,3.33
Whistle Stop,7.14,2.80
Loopin' Louie,6.78,1.05
Risk: Star Wars Edition,7.04,1.85
For the People,7.74,3.71
Fangs,6.82,1.82
Tsuro,6.67,1.24
Fortune and Glory: The Cliffhanger Game,7.10,2.88
Witch's Brew,7.01,1.87
Haggis,6.97,2.12
Herbaceous,7.10,1.19
Mottainai,7.03,3.09
Duelosaur Island,7.22,2.35
Imperial Struggle,8.38,3.87
Coconuts,7.03,1.04
Cat Lady,7.08,1.48
Pathfinder Adventure Card Game: Skull & Shackles - Base Set,7.31,2.95
Ninjato,7.20,2.76
The Magnificent,7.62,3.14
Ghost Fightin' Treasure Hunters,7.17,1.65
Yellow & Yangtze,7.86,3.12
Fleet,6.92,2.24
Plague Inc.: The Board Game,7.51,2.17
Blueprints,6.83,1.69
La Isla,6.89,2.25
Quarto,6.86,1.94
Hansa,6.88,2.34
Escape Room: The Game,7.06,2.26
Andean Abyss,7.60,3.78
"Julius Caesar: Caesar, Pompey, and the Roman Civil War",7.77,2.45
Trains: Rising Sun,7.48,2.44
Peloponnes,7.12,2.38
Catan Card Game,6.72,2.45
Hamburgum,7.06,3.08
Archaeology: The New Expedition,7.15,1.29
Strasbourg,7.17,2.74
Coffee Roaster,7.56,2.15
The Prodigals Club,7.31,3.27
Chimera Station,7.30,3.14
Claustrophobia 1643,8.11,2.58
Hallertau,8.25,3.31
Conflict of Heroes: Storms of Steel! - Kursk 1943,7.71,3.11
Three Kingdoms Redux,7.92,4.04
Carcassonne: South Seas,7.10,1.88
Fairy Tale,6.73,1.77
Legacy of Dragonholt,7.29,1.21
Dead Men Tell No Tales,7.13,2.52
Ultimate Werewolf: Ultimate Edition,7.02,1.49
The Reckoners,7.80,2.73
Merlin,7.11,3.09
Forum Trajanum,7.34,3.48
Planet Steam,7.14,3.76
Colossal Arena,6.77,2.02
Rise of Augustus,6.74,1.63
Machi Koro,6.63,1.53
Hacienda,6.94,2.63
Thunderbolt Apache Leader,8.05,3.19
GIPF,7.10,2.77
Fief: France 1429,7.44,3.80
Mission: Red Planet,6.91,2.32
Cleopatra and the Society of Architects,6.80,2.29
Keythedral,7.05,2.86
New York 1901,6.83,2.05
Agra,7.34,4.37
The Golden Ages,7.28,2.89
A Touch of Evil: The Supernatural Game,6.97,2.56
Reavers of Midgard,7.52,2.88
A Game of Thrones: The Card Game,6.85,3.25
Santiago de Cuba,6.91,2.15
Arkadia,6.92,2.57
Beyond the Sun,8.19,3.06
Explorers of the North Sea,7.34,2.16
Liberty or Death: The American Insurrection,7.84,4.06
Java,7.01,3.39
Merchant of Venus,7.14,2.83
Catacombs,7.08,1.95
Jump Drive,7.02,2.05
Liberté,7.13,3.31
Kraftwagen,7.26,2.84
Crisis,7.58,3.06
Council of 4,7.18,2.54
Mythos Tales,7.44,2.21
Guildhall,6.92,2.07
Rallyman,7.21,2.16
Blokus Duo,6.84,1.70
Smash Up: It's Your Fault!,7.53,2.06
The Werewolves of Miller's Hollow,6.74,1.32
Encore!,7.02,1.15
The Game,6.71,1.26
Medieval Academy,6.95,1.81
Stick 'Em,7.03,1.94
Dungeon Twister,6.82,2.89
Viceroy,6.83,2.65
Medina,7.04,2.79
Dungeon Fighter,6.82,1.75
Ecos: First Continent,7.18,2.62
Rattus,6.79,2.06
Ponzi Scheme,7.19,2.47
Escape from the Aliens in Outer Space,6.93,1.87
Last Bastion,7.67,2.54
Cockroach Poker,6.71,1.12
Tiny Epic Zombies,7.03,2.43
Heroes of Normandie,7.49,2.74
Carcassonne: Winter Edition,7.49,1.83
Poker,6.72,2.45
Evo,6.87,2.34
Castle Panic,6.65,1.66
Hostage Negotiator,6.90,1.99
Elfenland,6.71,2.16
Thunderbirds,7.56,2.49
BattleTech,7.05,3.41
Dark Moon,7.01,2.35
Rialto,6.91,2.54
Irish Gauge,7.38,2.41
Ulm,7.06,2.68
Insider,7.08,1.07
Rise of Tribes,7.26,2.16
Eat Poop You Cat,7.45,1.11
Fallout,6.94,2.99
Fire & Axe: A Viking Saga,7.00,2.67
Sylvion,7.11,2.05
Exit: The Game - The Sinister Mansion,7.45,2.61
Fireball Island: The Curse of Vul-Kar,6.93,1.52
Circadians: First Light,7.75,3.43
Ubongo,6.71,1.54
"The Hunters: German U-Boats at War, 1939-43",7.78,2.58
Street Masters,8.25,2.88
Outfoxed!,7.19,1.10
Axis & Allies Europe 1940,7.56,3.50
The Magic Labyrinth,6.83,1.24
Mega Civilization,8.25,3.69
Sentient,7.23,2.19
On Tour,7.08,1.47
Timeline: Inventions,6.71,1.11
Tournay,7.00,2.90
Titan,6.96,3.46
Royals,7.15,2.23
Ticket to Ride: London,7.24,1.20
Wings of War: Famous Aces,6.86,1.74
Villages of Valeria,7.07,2.36
Trails of Tucana,7.48,1.34
XenoShyft: Onslaught,6.96,2.66
Advanced Squad Leader: Starter Kit #2,7.93,3.79
Detective: City of Angels,8.00,2.39
Betrayal at Baldur's Gate,7.15,2.55
Clinic: Deluxe Edition,7.88,4.12
Unlock!: Escape Adventures - The Formula,7.06,2.32
Unmatched: Robin Hood vs. Bigfoot,8.24,1.93
Era: Medieval Age,7.27,2.27
Saboteur,6.58,1.33
UBOOT: The Board Game,7.78,4.08
KeyForge: Age of Ascension,7.45,2.80
Roam,7.48,1.92
Starship Catan,6.84,2.47
Mykerinos,6.85,2.56
Cartagena,6.68,1.61
Mystery Rummy: Jack the Ripper,6.94,1.75
Paleo,8.02,2.59
The Captain Is Dead,7.16,2.37
Caylus 1303,7.63,2.91
Men at Work,7.32,1.07
Star Trek: Catan,7.00,2.37
Odin's Ravens (Second Edition),7.07,1.21
Murano,7.24,2.72
New Angeles,7.13,3.26
Welcome to the Dungeon,6.60,1.23
Exit: The Game - The Forgotten Island,7.02,2.70
Merkator,7.04,2.96
Dead Man's Draw,6.85,1.35
Stronghold: 2nd edition,7.52,3.76
Porta Nigra,7.21,2.99
Doom: The Boardgame,6.86,2.91
Asara,7.02,2.35
The Little Prince: Make Me a Planet,6.91,1.59
The Starfarers of Catan,6.81,2.58
The Staufer Dynasty,7.15,2.99
Qwinto,7.06,1.37
Say Anything,6.74,1.09
Ghost Blitz,6.71,1.15
Room 25,6.74,1.93
Rallyman: GT,7.40,2.21
TransAmerica,6.67,1.35
Exit: The Game - The Sunken Treasure,7.12,1.84
Pan Am,7.79,2.56
Little Town,7.29,2.04
Cosmic Encounter,6.91,2.37
Spot it!,6.63,1.03
Castell,7.50,3.23
Fearsome Floors,6.66,1.83
Sushi Roll,7.16,1.24
Amyitis,6.94,3.22
Warsaw: City of Ruins,7.35,2.26
Gravwell: Escape from the 9th Dimension,6.91,1.74
Wyatt Earp,6.84,1.84
Ascending Empires,7.18,2.35
Folklore: The Affliction,7.84,3.67
MicroMacro: Crime City,8.01,1.12
De Vulgari Eloquentia,7.23,3.63
Keyper,7.34,3.55
Valley of the Kings: Afterlife,7.29,2.29
Kahuna,6.63,2.06
Abomination: The Heir of Frankenstein,7.56,3.29
Exit: The Game - The Polar Station,6.95,2.78
Warrior Knights,6.86,3.52
Obscurio,7.27,1.91
Dice City,6.77,2.03
Hellboy: The Board Game,8.02,2.90
Unearth,6.90,1.97
Nothing Personal,7.08,2.78
Tides of Time,6.66,1.58
Le Havre: The Inland Port,6.85,2.50
Meuterer,6.89,2.32
The Castles of Burgundy: The Dice Game,6.93,1.82
Rum & Bones: Second Tide,7.70,2.83
Circle the Wagons,7.19,1.71
Löwenherz,7.03,2.93
DC Comics Deck-Building Game: Heroes Unite,7.39,2.10
Wallenstein (Second Edition),7.61,3.23
Balloon Cup,6.69,1.46
Aton,6.86,2.11
Bausack,6.82,1.30
Detective Club,7.42,1.22
Star Wars: Epic Duels,7.00,1.78
Aladdin's Dragons,6.91,2.47
Timeline: Events,6.78,1.10
Mascarade,6.62,1.53
Spirits of the Wild,7.39,1.29
Haspelknecht,7.27,3.03
Barony,7.12,2.24
Manhattan,6.72,1.92
Roma,6.77,2.01
Dale of Merchants 2,7.34,2.06
Ca$h 'n Gun$,6.58,1.27
One Deck Dungeon: Forest of Shadows,7.23,2.36
Galaxy Defenders,7.45,3.24
Etherfields,8.21,3.46
Advanced Squad Leader: Starter Kit #3,8.02,3.90
Yomi,6.98,2.36
Raiders of Scythia,8.13,2.59
Cockroach Poker Royal,7.04,1.12
Vampire: The Eternal Struggle,7.20,3.37
Kodama: The Tree Spirits,6.75,1.67
Blue Moon,6.69,2.17
Black Sonata,7.58,2.05
Rune Age,6.80,2.29
Copenhagen,7.18,1.73
High Frontier,7.39,4.33
Necromunda,7.30,3.11
Patchistory,7.14,3.76
Maximum Apocalypse,7.60,2.17
Deep Madness,7.95,3.34
Project: ELITE,8.15,2.42
Rurik: Dawn of Kiev,7.83,3.08
Escape Tales: The Awakening,7.22,2.18
Guillotine,6.53,1.27
Kremlin,6.96,2.84
Factory Fun,6.81,2.50
Lost Cities: The Board Game,6.80,1.73
Viral,7.00,2.56
Blokus 3D,6.79,1.75
Gloom of Kilforth: A Fantasy Quest Game,7.66,3.08
Set a Watch,7.38,2.40
D-Day Dice,6.83,2.05
Onirim,6.67,1.65
Axis & Allies Pacific 1940,7.52,3.51
Heroes of Terrinoth,7.39,2.47
Turn the Tide,6.77,1.53
1856: Railroading in Upper Canada from 1856,7.52,4.25
Star Wars: Legion,8.02,3.39
Dungeons & Dragons: Temple of Elemental Evil Board Game,7.43,2.51
Pioneer Days,7.34,2.54
Paris: La Cité de la Lumière,7.54,2.17
Omen: A Reign of War,7.38,2.34
Coup: Rebellion G54,7.03,1.93
In the Shadow of the Emperor,6.88,3.42
Medina (Second Edition),7.25,2.33
Traders of Osaka,6.83,2.04
My Village,6.97,3.10
Quoridor,6.67,1.88
Edge of Darkness,7.59,3.41
Aquatica,7.42,2.29
Sword of Rome,7.32,3.32
Ascension: Immortal Heroes,7.36,2.13
Doomtown: Reloaded,7.16,3.59
Carolus Magnus,6.82,2.58
Blokus Trigon,6.91,1.94
Tides of Madness,6.83,1.54
Tramways,7.45,3.82
Sleuth,6.91,2.47
Mü & More,7.16,2.49
Timeline: Diversity,6.79,1.07
Power Grid: The First Sparks,6.81,2.70
Dragonfire,7.28,3.22
Pixel Tactics,6.91,2.63
The Scepter of Zavandor,6.98,3.51
Imagine,6.93,1.07
V-Commandos,7.81,2.75
Sun Tzu,7.06,2.09
Giants,6.98,2.94
Wars of the Roses: Lancaster vs. York,7.36,3.20
Middle-earth,7.27,3.69
Calimala,7.20,2.81
The New Era,7.51,3.45
Antike II,7.48,2.89
Olympos,6.93,2.95
Happy Salmon,6.75,1.10
Agricola: Family Edition,7.14,2.48
Aquaretto,6.98,2.12
Codex: Card-Time Strategy - Deluxe Set,8.06,3.67
Museum,7.25,2.54
Havana,6.85,2.21
NEOM,7.39,2.57
I'm the Boss!,6.79,1.97
Empire Builder,6.95,2.63
Ad Astra,6.87,2.68
Eight-Minute Empire,6.58,1.63
Renegade,7.81,3.69
Robo Rally,7.07,2.33
Pickomino,6.56,1.15
Solenia,7.13,2.20
CV,6.63,1.86
Masmorra: Dungeons of Arcadia,7.07,2.24
Age of Renaissance,7.10,3.86
Neanderthal,7.38,3.73
Junta,6.69,2.87
Unconditional Surrender! World War 2 in Europe,8.30,3.74
Stephenson's Rocket,6.89,3.06
Undaunted: North Africa,8.09,2.39
Magic Realm,7.19,4.53
Beasty Bar,6.82,1.42
Scotland Yard,6.51,1.96
Kashgar: Merchants of the Silk Road,7.12,2.25
Ingenious: Travel Edition,7.09,1.85
Power Struggle,6.99,3.34
Exit: The Game - The Mysterious Museum,7.25,2.14
Oceanos,6.87,1.81
DOOM: The Board Game,7.48,2.91
BANG!,6.51,1.64
Call of Cthulhu: The Card Game,6.90,2.89
Space Crusade,7.01,2.29
Arctic Scavengers,6.85,2.26
Rise of Empires,7.04,3.55
The Civil War 1861-1865,7.71,3.80
Puzzle Strike (Third Edition),7.21,2.70
New York Zoo,7.37,2.09
The Climbers,6.85,1.83
Bargain Quest,7.03,1.94
CuBirds,7.14,1.32
City of Iron,7.20,3.24
Backgammon,6.54,2.02
The Rose King,6.80,1.96
Tiny Epic Kingdoms,6.60,2.09
Spyfall 2,6.99,1.33
Coloma,7.44,2.94
Walnut Grove,6.98,2.47
Hab & Gut,7.08,2.18
World in Flames,7.60,4.63
Tiny Epic Dinosaurs,7.49,2.50
Claim,7.00,1.71
Ys,6.90,2.92
Successors (Third Edition),7.52,3.31
Fields of Fire,7.81,4.20
Pueblo,6.92,2.26
Himalaya,7.00,2.58
Shogi,7.37,3.82
Indigo,6.84,1.47
Pirate's Cove,6.57,2.01
Werewords Deluxe Edition,7.59,1.29
Revolution!,6.72,2.04
Escape the Dark Castle,7.61,1.25
Risk 2210 A.D.,6.70,2.72
Ogre,6.95,2.35
Battle Cry: 150th Civil War Anniversary Edition,7.63,2.07
On the Underground,6.91,2.44
Wildcatters,7.59,3.90
Exit: The Game - The Forbidden Castle,6.89,3.29
Welcome Back to the Dungeon,6.79,1.36
The Ancient World,7.04,2.72
Android,6.74,3.96
Oregon,6.76,2.15
Dice Settlers,7.00,2.93
"Artifacts, Inc.",6.79,2.18
51st State,6.83,3.11
A Study in Emerald (Second Edition),6.94,2.94
Mariposas,7.20,2.10
Indian Summer,6.81,2.15
1862: Railway Mania in the Eastern Counties,8.36,4.55
Forge War,7.27,3.77
A House Divided: War Between the States 1861-65,7.07,2.64
Gulo Gulo,6.84,1.08
PitchCar Mini,6.96,1.15
Imhotep: The Duel,7.17,1.88
Pergamon,6.91,2.25
Legendary Encounters: A Firefly Deck Building Game,7.16,2.63
Beyond Balderdash,6.83,1.47
The Red Dragon Inn 2,6.91,1.80
Empires in Arms,7.60,4.42
DC Comics Dice Masters: Justice League,7.35,2.21
Bloodborne: The Card Game,6.93,2.07
Samurai Spirit,6.67,2.15
Fireteam Zero,7.53,2.76
Space Cadets: Dice Duel,6.79,2.08
Kingdoms,6.63,1.83
Ticket to Ride: Germany,7.64,1.77
Leonardo da Vinci,6.75,3.19
Unlock!: Secret Adventures - The Adventurers of Oz,7.48,2.88
Axis & Allies,6.70,3.21
Mordheim: City of the Damned,7.30,3.09
Mystery of the Abbey,6.54,2.20
The Lord of the Ice Garden,7.67,4.06
Walking in Burano,7.23,2.04
The Great Heartland Hauling Co.,6.90,1.85
Unlock!: Mystery Adventures - The House on the Hill,7.06,1.76
Dungeons & Dragons Dice Masters: Battle for Faerûn,7.27,2.19
Thanos Rising: Avengers Infinity War,7.21,2.03
Santa Monica,7.54,2.06
Pictomania (Second Edition),7.61,1.36
Timeline: Discoveries,6.73,1.18
Ascension: Rise of Vigil,7.18,2.28
La Cosa Nostra,7.71,2.67
The Bottle Imp,6.73,1.87
Hit Z Road,6.75,1.85
Krosmaster: Arena,6.78,2.67
GKR: Heavy Hitters,7.72,2.78
Planet,6.76,1.63
König von Siam,6.92,2.70
Middara: Unintentional Malum - Act 1,8.69,3.82
RAF: The Battle of Britain 1940,7.97,3.26
Transatlantic,7.11,3.15
Tortuga 1667,6.97,1.98
A Victory Lost: Crisis in Ukraine 1942-1943,7.69,2.58
Capital Lux,7.05,1.98
Star Trek: Attack Wing,7.51,2.70
Evo (Second Edition),6.95,2.37
New Bedford,7.11,2.36
Helvetia,6.98,3.06
Navajo Wars,8.01,3.85
18Chesapeake,7.99,3.88
Merv: The Heart of the Silk Road,7.96,3.46
Honey Buzz,8.02,2.63
Unlock!: Epic Adventures,7.96,2
Warfighter: The Tactical Special Forces Card Game,7.71,2.71
Exodus: Proxima Centauri,7.17,3.61
Infinity,8.10,3.93
Orchard: A 9 card solitaire game,7.51,1.16
Warhammer Quest: Blackstone Fortress,8.02,2.90
Steel Driver,6.98,2.80
Ishtar: Gardens of Babylon,7.13,2.32
Smash Up: The Obligatory Cthulhu Set,6.76,2.20
Big City,6.87,2.22
John Company,7.54,4.13
New York Slice,6.75,1.43
Jungle Speed,6.50,1.14
Startups,7.10,1.67
The Artemis Project,7.37,2.83
Breakout: Normandy,7.67,3.40
La Boca,6.99,1.36
Tidal Blades: Heroes of the Reef,7.92,2.88
The Great Dalmuti,6.56,1.29
Nefertiti,7.00,2.36
Nagaraja,7.25,2.02
Illusion,6.78,1.07
Ave Caesar,6.62,1.36
The King is Dead: Second Edition,8.09,2.11
World of Warcraft: The Boardgame,6.67,3.51
Babel,6.67,2.40
Europe Engulfed: WWII European Theatre Block Game,7.49,3.77
Adventure Time: Love Letter,7.22,1.05
Historia,6.91,3.10
Xiangqi,7.12,3.59
Maquis,7.37,2.15
Timeline: Music & Cinema,6.75,1.10
Otys,7.02,2.92
Disney Villainous: Perfectly Wretched,7.93,2.41
Project: ELITE,7.64,2.41
Pax Pamir,7.55,3.65
Diamonds Club,7.05,2.63
Carnival of Monsters,7.31,2.11
Piepmatz,7.17,2.11
Hare & Tortoise,6.63,1.94
Aristeia!,8.36,3.03
The King Is Dead,7.16,2.57
Expedition: Northwest Passage,7.03,2.69
Wooden Ships & Iron Men,7.05,3.12
Steam Time,7.13,2.98
Habitats,7.35,2.26
Antike Duellum,7.09,2.89
The Adventurers: The Temple of Chac,6.60,1.66
Marrakech,6.68,1.37
Mangrovia,7.15,2.46
Kamisado,6.91,2.46
Sluff Off!,6.87,1.86
Duplik,6.98,1.22
Here I Stand: 500th Anniversary Edition,8.61,4.54
Adventure Land,6.92,1.84
Strat-O-Matic Baseball,7.78,2.38
Québec,7.14,2.98
Drop It,6.94,1.09
Niagara,6.49,1.83
Theseus: The Dark Orbit,7.09,2.83
Trambahn,6.97,1.83
"Napoléon: The Waterloo Campaign, 1815",7.35,2.49
Favor of the Pharaoh,6.80,2
Edo,7.09,2.95
Felicity: The Cat in the Sack,6.58,1.40
Fjords,6.74,1.72
Ground Floor,7.04,3.72
Axis & Allies,6.56,3.04
Canvas,7.81,1.65
The Russian Campaign,7.30,2.87
SET,6.48,1.68
A Castle for All Seasons,6.74,2.79
Founding Fathers,6.98,2.75
Warhammer: Diskwars,7.11,2.77
Exit: The Game - The Catacombs of Horror,7.45,2.71
Legend of the Five Rings,7.15,3.29
Wits & Wagers Party,6.92,1.13
Thunderstone Advance: Numenera,7.28,2.73
Expedition to Newdale,7.56,2.95
Love Letter: The Hobbit - The Battle of the Five Armies,7.11,1.26
Royal Palace,6.88,2.78
Flip Ships,7.06,1.38
Ohanami,7.33,1.14
Ra: The Dice Game,6.79,1.74
Duel of Ages II,7.45,3.40
Ubongo 3D,7.13,2
Odin's Ravens,6.65,1.68
Gingerbread House,7.07,1.87
Smash Up: Cease and Desist,7.48,2.50
Eurorails,7.09,2.74
Clans,6.55,2.03
Tiny Epic Western,6.68,2.87
Cold War: CIA vs KGB,6.64,1.85
Race! Formula 90,7.99,3.52
Château Roquefort,6.85,1.58
A Game of Thrones: Hand of the King,6.68,1.17
Arena: Roma II,6.90,1.93
Unlock!: Mystery Adventures - The Tonipal's Treasure,7.05,2.56
The Red Dragon Inn,6.56,1.66
Battle Sheep,6.64,1.47
Marvel Dice Masters: Age of Ultron,7.27,2.33
Carcassonne: Amazonas,7.10,1.89
Babylonia,7.71,2.53
Tsuro of the Seas,6.55,1.42
Treasure Hunter,6.77,1.86
Tussie Mussie,7.07,1.11
Unmatched: Jurassic Park - InGen vs Raptors,8.31,1.83
Mare Nostrum,6.72,2.99
Bios:Megafauna (Second Edition),7.75,4.48
Sleeping Gods,8.79,3.02
2 de Mayo,6.93,2.16
IKI,7.55,2.94
Talisman (Revised 4th Edition),6.52,2.19
Heroscape Marvel: The Conflict Begins,7.01,2.06
The Castles of Tuscany,7.39,2.18
The Expanse Board Game,7.20,2.74
Monolith Arena,7.71,2.42
Warhammer Underworlds: Nightvault,7.94,2.41
Seeland,6.92,2.31
Carcassonne Junior,6.69,1.14
Show Manager,7.01,2.09
Spirits of the Forest,6.94,1.36
Carrom,7.04,1.48
La Granja: No Siesta,6.85,2.19
The Fox in the Forest Duet,7.29,1.67
Adventure Games: The Dungeon,7.13,1.76
Pendragon: The Fall of Roman Britain,8.00,4.40
Trapwords,7.02,1.44
Teenage Mutant Ninja Turtles: Shadows of the Past,7.49,2.72
"Warriors of God: The Wars of England & France, 1135-1453",7.44,2.61
Aerion,7.56,1.93
Coal Baron: The Great Card Game,7.15,2.71
The Boss,6.81,1.78
Rommel in the Desert,7.55,3.43
Human Punishment: Social Deduction 2.0,7.92,2.55
Carcassonne: Gold Rush,7.17,1.92
Nyet!,6.80,1.92
Time's Up! Edición Azul,7.31,1.24
Lockup: A Roll Player Tale,7.40,2.40
Holmes: Sherlock & Mycroft,6.85,1.83
Beyond Baker Street,6.89,2.21
Bootleggers,6.68,2.62
Wits & Wagers Family,6.93,1.11
Time's Up! Deluxe,7.49,1.31
Covert,7.15,3.02
Sherlock Holmes Consulting Detective: Carlton House & Queen's Park,7.95,2.15
Sol: Last Days of a Star,7.61,2.89
Guilds of London,6.88,3.03
Field Commander: Napoleon,7.71,2.79
Ascension: Realms Unraveled,7.55,2.17
Perikles,6.91,3.27
Um Reifenbreite,6.82,1.96
Paris Connection,6.73,1.81
Hoity Toity,6.52,1.87
The Bridges of Shangri-La,6.79,2.72
Serenissima,6.86,3.04
1817,8.75,4.68
Normandy '44,7.89,3.35
Reykholt,6.78,2.16
High Frontier (Third Edition),8.28,4.70
Compounded,6.75,2.44
Campy Creatures,7.12,1.41
Horus Heresy,7.06,3.76
Wasabi!,6.54,1.90
Path of Light and Shadow,7.45,3.16
Alma Mater,7.68,3.68
Archaeology: The Card Game,6.66,1.34
Harbour,6.55,2.09
The Ancient World (Second Edition),7.68,2.85
The Princes of Machu Picchu,6.97,3.11
Marvel United,7.39,1.91
Trans Europa,6.64,1.41
Sail to India,6.74,2.21
SPQR (Deluxe Edition),8.00,3.83
Key Flow,7.43,2.84
Relic,6.78,2.49
Cutthroat Caverns,6.54,2.08
B-17: Queen of the Skies,7.06,2.35
The Red Dragon Inn 3,7.18,1.92
Rise to Nobility,7.03,3.30
Dungeon Twister 2: Prison,7.29,3.24
The Rise of Queensdale,7.55,2.80
Tempel des Schreckens,7.10,1.14
Sanssouci,7.12,2.08
Star Trek Panic,7.03,2.14
Frank's Zoo,6.61,1.53
Cthulhu Realms,6.73,2.12
Impulse,6.86,2.98
Riff Raff,6.94,1.21
Strike,6.82,1.05
Samurai Sword,6.68,1.77
Hornet Leader: Carrier Air Operations,7.87,2.83
Wings of War: Watch Your Back!,6.97,1.71
Agents of SMERSH,7.01,2.49
Conquest of the Empire,6.73,3.06
Elasund: The First City,6.63,2.73
American Rails,7.44,2.86
Catan Histories: Settlers of America - Trails to Rails,6.81,2.68
Hamsterrolle,6.82,1.08
